year,stamp_price,source
1967,5c,Australia Post basic letter rate (Wikipedia)
1968,5c,Australia Post basic letter rate (Wikipedia)
1969,5c,Australia Post basic letter rate (Wikipedia)
1970,6c,Australia Post basic letter rate (Wikipedia)
1971,7c,Australia Post basic letter rate (Wikipedia)
1972,7c,Australia Post basic letter rate (Wikipedia)
1973,7c,Australia Post basic letter rate (Wikipedia)
1974,10c,Australia Post basic letter rate (Wikipedia)
1975,18c,Australia Post basic letter rate (Wikipedia)
1976,18c,Australia Post basic letter rate (Wikipedia)
1977,18c,Australia Post basic letter rate (Wikipedia)
1978,20c,Australia Post basic letter rate (Wikipedia)
1979,20c,Australia Post basic letter rate (Wikipedia)
1980,22c,Australia Post basic letter rate (Wikipedia)
1981,24c,Australia Post basic letter rate (Wikipedia)
1982,27c,Australia Post basic letter rate (Wikipedia)
1983,30c,Australia Post basic letter rate (Wikipedia)
1984,30c,Australia Post basic letter rate (Wikipedia)
1985,33c,Australia Post basic letter rate (Wikipedia)
1986,36c,Australia Post basic letter rate (Wikipedia)
1987,37c,Australia Post basic letter rate (Wikipedia)
1988,39c,Australia Post basic letter rate (Wikipedia)
1989,41c,Australia Post basic letter rate (Wikipedia)
1990,43c,Australia Post basic letter rate (Wikipedia)
1991,43c,Australia Post basic letter rate (Wikipedia)
1992,45c,Australia Post basic letter rate (Wikipedia)
1993,45c,Australia Post basic letter rate (Wikipedia)
1994,45c,Australia Post basic letter rate (Wikipedia)
1995,45c,Australia Post basic letter rate (Wikipedia)
1996,45c,Australia Post basic letter rate (Wikipedia)
1997,45c,Australia Post basic letter rate (Wikipedia)
1998,45c,Australia Post basic letter rate (Wikipedia)
1999,45c,Australia Post basic letter rate (Wikipedia)
2000,45c,Australia Post basic letter rate (Wikipedia)
2001,45c,Australia Post basic letter rate (Wikipedia)
2002,45c,Australia Post basic letter rate (Wikipedia)
2003,50c,Australia Post basic letter rate (Wikipedia)
2004,50c,Australia Post basic letter rate (Wikipedia)
2005,50c,Australia Post basic letter rate (Wikipedia)
2006,50c,Australia Post basic letter rate (Wikipedia)
2007,50c,Australia Post basic letter rate (Wikipedia)
2008,55c,Australia Post basic letter rate (Wikipedia)
2009,55c,Australia Post basic letter rate (Wikipedia)
2010,60c,Australia Post basic letter rate (Wikipedia)
2011,60c,Australia Post basic letter rate (Wikipedia)
2012,60c,Australia Post basic letter rate (Wikipedia)
2013,60c,Australia Post basic letter rate (Wikipedia)
2014,70c,Australia Post basic letter rate (Wikipedia)
2015,70c,Australia Post basic letter rate (Wikipedia)
2016,$1.00,Australia Post basic/standard rate (Wikipedia)
2017,$1.00,Australia Post basic/standard rate (Wikipedia)
2018,$1.00,Australia Post basic/standard rate (Wikipedia)
2019,$1.00,Australia Post basic/standard rate (Wikipedia)
2020,$1.10,Australia Post basic/standard rate (Wikipedia)
2021,$1.10,Australia Post basic/standard rate (Wikipedia)
2022,$1.10,Australia Post basic/standard rate (Wikipedia)
2023,$1.20,Australia Post basic/standard rate (Wikipedia)
2024,$1.50,Australia Post basic/standard rate (Wikipedia)
2025,$1.70,Australia Post basic/standard rate (Wikipedia)
2026,$1.70,Australia Post basic/standard rate (Wikipedia)
